Year,Icon,Description
1928.09,🧪,"亞歷山大·弗萊明在倫敦聖瑪麗醫院實驗室工作時，發現一個忘記蓋蓋子的培養皿上長出了青黴菌（<i>Penicillium notatum</i>），周圍的葡萄球菌被溶解。他命名其產物為「青黴素（Penicillin）」。這是一個偶然但革命性的發現。"
1929,📝,"弗萊明發表論文，描述青黴素具有抗菌能力，但因為當時無法純化、不穩定且難以保存，這一發現未引起太多關注。"
1939,⚗️,"牛津大學的霍華德·弗洛里與恩斯特·錢恩開始重新研究青黴素，並成功提取、穩定與測試其抗菌效果。"
1940,🧬,"青黴素首次在老鼠身上成功試驗。當年也進行了第一例人類臨床實驗，效果良好，但藥量嚴重不足。"
1940.06,⚠️,"倫敦遭德軍空襲。為保研究安全，研究團隊將青黴菌塗在衣服內裡偷偷運往美國。"
1941.03,🤝,"美國通過《租借法案》，開始援助英國，包括科研合作，標誌著美國雖未參戰，但積極支持反法西斯陣營。"
"1941 (中)",🍈,"在美國伊利諾伊州皮奧里亞，研究員瑪麗·亨特在市場找到一顆發霉的哈密瓜，發現一種高產青黴素的 <i>Penicillium chrysogenum</i> 菌株，遠勝於弗萊明原菌。"
1941.12.07,💥,"珍珠港事件後，美國正式加入二戰。此後青黴素成為美軍重點醫療技術之一。"
1942,⚡,"美國透過紫外線與 X 射線誘變，讓哈密瓜菌株突變，大幅提升青黴素產量。"
1943,🏭,"美國開始工業化大規模生產青黴素，輝瑞等公司採用深層發酵法，大量供應軍隊使用。"
1944.06.06,⚔️,"諾曼第登陸：青黴素被列為優先配給前線部隊的戰略藥品，大量用於治療槍傷、感染與梅毒。"
"1945.05–08",🕊️,"德國與日本相繼投降，二戰結束。青黴素成功拯救無數傷患，名聲大噪。"
"1945 (末)",🏅,"弗萊明、弗洛里與錢恩獲得諾貝爾生理醫學獎，表彰他們對青黴素發現與應用的歷史性貢獻。"
